t_ms,soma_v_mV
6.199999999999912248e+00,-6.783069372884310155e+01
6.219999999999911822e+00,-6.783073494168091599e+01
6.239999999999911395e+00,-6.783077632278724423e+01
6.259999999999910969e+00,-6.783081786983611039e+01
6.279999999999910543e+00,-6.783085958052916453e+01
6.299999999999910116e+00,-6.783090145259527048e+01
6.319999999999909690e+00,-6.783094348379009375e+01
6.339999999999909264e+00,-6.783098567189580308e+01
6.359999999999908837e+00,-6.783102801472062993e+01
6.379999999999908411e+00,-6.783107051009852739e+01
6.399999999999907985e+00,-6.783111315588877233e+01
6.419999999999907558e+00,-6.783115594997559583e+01
6.439999999999907132e+00,-6.783119889026785643e+01
6.459999999999906706e+00,-6.783124197469869898e+01
6.479999999999906279e+00,-6.783128520122517102e+01
6.499999999999905853e+00,-6.783132856782791009e+01
6.519999999999905427e+00,-6.783137207251076006e+01
6.539999999999905000e+00,-6.783141571330045849e+01
6.559999999999904574e+00,-6.783145948824632399e+01
6.579999999999904148e+00,-6.783150339541990093e+01
6.599999999999903721e+00,-6.783154743291474631e+01
6.619999999999903295e+00,-6.783159159884607448e+01
6.639999999999902869e+00,-6.783163589135048710e+01
6.659999999999902442e+00,-6.783168030858570319e+01
6.679999999999902016e+00,-6.783172484873023222e+01
6.699999999999901590e+00,-6.783176950998308996e+01
6.719999999999901164e+00,-6.783181429056341472e+01
6.739999999999900737e+00,-6.783185918871012632e+01
6.759999999999900311e+00,-6.783190420268158505e+01
6.779999999999899885e+00,-6.783194933075536426e+01
6.799999999999899458e+00,-6.783199457122798037e+01
6.819999999999899032e+00,-6.783203992241467972e+01
6.839999999999898606e+00,-6.783208538264921117e+01
6.859999999999898179e+00,-6.783213095028358453e+01
6.879999999999897753e+00,-6.783217662368780054e+01
6.899999999999897327e+00,-6.783222240124958091e+01
6.919999999999896900e+00,-6.783226828137418352e+01
6.939999999999896474e+00,-6.783231426248416085e+01
6.959999999999896048e+00,-6.783236034301917528e+01
6.979999999999895621e+00,-6.783240652143577165e+01
6.999999999999895195e+00,-6.783245279620716417e+01
7.019999999999894769e+00,-6.783249916582302319e+01
7.039999999999894342e+00,-6.783254562878924787e+01
7.059999999999893916e+00,-6.783259218362761089e+01
7.079999999999893490e+00,-6.783263882887551688e+01
7.099999999999893063e+00,-6.783268556308564712e+01
7.119999999999892637e+00,-6.783273238482574641e+01
7.139999999999892211e+00,-6.783277929267842410e+01
7.159999999999891784e+00,-6.783282628524099778e+01
7.179999999999891358e+00,-6.783287336112535115e+01
7.199999999999890932e+00,-6.783292051895791985e+01
7.219999999999890505e+00,-6.783296775737952089e+01
7.239999999999890079e+00,-6.783301507504538108e+01
7.259999999999889653e+00,-6.783306247062495231e+01
7.279999999999889226e+00,-6.783310994280184048e+01
7.299999999999888800e+00,-6.783315749027369179e+01
7.319999999999888374e+00,-6.783320511175200807e+01
7.339999999999887947e+00,-6.783325280596200457e+01
7.359999999999887521e+00,-6.783330057164248217e+01
7.379999999999887095e+00,-6.783334840754559991e+01
7.399999999999886668e+00,-6.783339631243673296e+01
7.419999999999886242e+00,-6.783344428509431623e+01
7.439999999999885816e+00,-6.783349232430961706e+01
7.459999999999885389e+00,-6.783354042888663571e+01
7.479999999999884963e+00,-6.783358859764187798e+01
7.499999999999884537e+00,-6.783363682940421313e+01
7.519999999999884110e+00,-6.783368512301470332e+01
7.539999999999883684e+00,-6.783373347732641889e+01
7.559999999999883258e+00,-6.783378189120432467e+01
7.579999999999882832e+00,-6.783383036352508100e+01
7.599999999999882405e+00,-6.783387889317688746e+01
7.619999999999881979e+00,-6.783392747905938336e+01
7.639999999999881553e+00,-6.783397612008339195e+01
7.659999999999881126e+00,-6.783402481517070726e+01
7.679999999999880700e+00,-6.783407356325383830e+01
7.699999999999880274e+00,-6.783412236327581013e+01
7.719999999999879847e+00,-6.783417121419005014e+01
7.739999999999879421e+00,-6.783422011496028858e+01
7.759999999999878995e+00,-6.783426906456054439e+01
7.779999999999878568e+00,-6.783431806197499725e+01
7.799999999999878142e+00,-6.783436710619798760e+01
7.819999999999877716e+00,-6.783441619623349084e+01
7.839999999999877289e+00,-6.783446533109450627e+01
7.859999999999876863e+00,-6.783451450980297182e+01
7.879999999999876437e+00,-6.783456373138987772e+01
7.899999999999876010e+00,-6.783461299489556495e+01
7.919999999999875584e+00,-6.783466229936989578e+01
7.939999999999875158e+00,-6.783471164387238161e+01
7.959999999999874731e+00,-6.783476102747222569e+01
7.979999999999874305e+00,-6.783481044924828041e+01
7.999999999999873879e+00,-6.783485990828890522e+01
8.019999999999873452e+00,-6.783490940369192401e+01
8.039999999999873026e+00,-6.783495893456442616e+01
8.059999999999872600e+00,-6.783500850002263860e+01
8.079999999999872173e+00,-6.783505809919176954e+01
8.099999999999871747e+00,-6.783510773120586634e+01
8.119999999999871321e+00,-6.783515739520767340e+01
8.139999999999870894e+00,-6.783520709034851848e+01
8.159999999999870468e+00,-6.783525681578804267e+01
8.179999999999870042e+00,-6.783530657069405834e+01
8.199999999999869615e+00,-6.783535635424226484e+01
8.219999999999869189e+00,-6.783540616561612069e+01
8.239999999999868763e+00,-6.783545600400677245e+01
8.259999999999868336e+00,-6.783550586861295528e+01
8.279999999999867910e+00,-6.783555575864103560e+01
8.299999999999867484e+00,-6.783560567330488311e+01
8.319999999999867057e+00,-6.783565561182591352e+01
8.339999999999866631e+00,-6.783570557343301743e+01
8.359999999999866205e+00,-6.783575555736250351e+01
8.379999999999865778e+00,-6.783580556285802743e+01
8.399999999999865352e+00,-6.783585558917056346e+01
8.419999999999864926e+00,-6.783590563555829078e+01
8.439999999999864500e+00,-6.783595570128657926e+01
8.459999999999864073e+00,-6.783600578562787575e+01
8.479999999999863647e+00,-6.783605588786160467e+01
8.499999999999863221e+00,-6.783610600727412532e+01
8.519999999999862794e+00,-6.783615614315863240e+01
8.539999999999862368e+00,-6.783620629481508502e+01
8.559999999999861942e+00,-6.783625646155007871e+01
8.579999999999861515e+00,-6.783630664267681709e+01
8.599999999999861089e+00,-6.783635683751496970e+01
8.619999999999860663e+00,-6.783640704539064359e+01
8.639999999999860236e+00,-6.783645726563624123e+01
8.659999999999859810e+00,-6.783650749759040366e+01
8.679999999999859384e+00,-6.783655774059786836e+01
8.699999999999858957e+00,-6.783660799400942665e+01
8.719999999999858531e+00,-6.783665825718190945e+01
8.739999999999858105e+00,-6.783670852947814467e+01
8.759999999999857678e+00,-6.783675881026695720e+01
8.779999999999857252e+00,-6.783680909892308364e+01
8.799999999999856826e+00,-6.783685939482717231e+01
8.819999999999856399e+00,-6.783690969736568377e+01
8.839999999999855973e+00,-6.783696000593070607e+01
8.859999999999855547e+00,-6.783701031991982688e+01
8.879999999999855120e+00,-6.783706063873609082e+01
8.899999999999854694e+00,-6.783711096178792843e+01
8.919999999999854268e+00,-6.783716128848922722e+01
8.939999999999853841e+00,-6.783721161825928903e+01
8.959999999999853415e+00,-6.783726195052285846e+01
8.979999999999852989e+00,-6.783731228471009445e+01
8.999999999999852562e+00,-6.783736262025654185e+01
9.019999999999852136e+00,-6.783741295660310300e+01
9.039999999999851710e+00,-6.783746329319596668e+01
9.059999999999851283e+00,-6.783751362948655128e+01
9.079999999999850857e+00,-6.783756396493149055e+01
9.099999999999850431e+00,-6.783761429899251993e+01
9.119999999999850004e+00,-6.783766463113647660e+01
9.139999999999849578e+00,-6.783771496083522834e+01
9.159999999999849152e+00,-6.783776528756560253e+01
9.179999999999848725e+00,-6.783781561080934353e+01
9.199999999999848299e+00,-6.783786593005308418e+01
9.219999999999847873e+00,-6.783791624478824644e+01
9.239999999999847446e+00,-6.783796655451102708e+01
9.259999999999847020e+00,-6.783801685872229825e+01
9.279999999999846594e+00,-6.783806715692757905e+01
9.299999999999846167e+00,-6.783811744863693605e+01
9.319999999999845741e+00,-6.783816773336488382e+01
9.339999999999845315e+00,-6.783821801063028545e+01
9.359999999999844889e+00,-6.783826827995616782e+01
9.379999999999844462e+00,-6.783831854086963631e+01
9.399999999999844036e+00,-6.783836879290183219e+01
9.419999999999843610e+00,-6.783841903558783315e+01
9.439999999999843183e+00,-6.783846926846656800e+01
9.459999999999842757e+00,-6.783851949108085932e+01
9.479999999999842331e+00,-6.783856970297742350e+01
9.499999999999841904e+00,-6.783861990370688488e+01
9.519999999999841478e+00,-6.783867009282379001e+01
9.539999999999841052e+00,-6.783872026988662185e+01
9.559999999999840625e+00,-6.783877043445784238e+01
9.579999999999840199e+00,-6.783882058610393528e+01
9.599999999999839773e+00,-6.783887072439540589e+01
9.619999999999839346e+00,-6.783892084890683805e+01
9.639999999999838920e+00,-6.783897095921689413e+01
9.659999999999838494e+00,-6.783902105490825818e+01
9.679999999999838067e+00,-6.783907113556766433e+01
9.699999999999837641e+00,-6.783912120078583996e+01
9.719999999999837215e+00,-6.783917125015750571e+01
9.739999999999836788e+00,-6.783922128328123335e+01
9.759999999999836362e+00,-6.783927129975943160e+01
9.779999999999835936e+00,-6.783932129919823240e+01
9.799999999999835509e+00,-6.783937128120744831e+01
9.819999999999835083e+00,-6.783942124540054408e+01
9.839999999999834657e+00,-6.783947119139465087e+01
9.859999999999834230e+00,-6.783952111881048097e+01
9.879999999999833804e+00,-6.783957102727238464e+01
9.899999999999833378e+00,-6.783962091640825065e+01
9.919999999999832951e+00,-6.783967078584953470e+01
9.939999999999832525e+00,-6.783972063523120255e+01
9.959999999999832099e+00,-6.783977046419170165e+01
9.979999999999831672e+00,-6.783982027237289003e+01
9.999999999999831246e+00,-6.783987005942005055e+01
1.001999999999983082e+01,-6.783991982498181983e+01
1.003999999999983039e+01,-6.783996956871014561e+01
1.005999999999982997e+01,-6.784001929026028677e+01
1.007999999999982954e+01,-6.784006898929074225e+01
1.009999999999982911e+01,-6.784011866546319425e+01
1.011999999999982869e+01,-6.784016831844255080e+01
1.013999999999982826e+01,-6.784021794789683213e+01
1.015999999999982784e+01,-6.784026755349717064e+01
1.017999999999982741e+01,-6.784031713491779669e+01
1.019999999999982698e+01,-6.784036669183596757e+01
1.021999999999982656e+01,-6.784041622393198168e+01
1.023999999999982613e+01,-6.784046573088910748e+01
1.025999999999982570e+01,-6.784051521239358351e+01
1.027999999999982528e+01,-6.784056466813457575e+01
1.029999999999982485e+01,-6.784061409780412077e+01
1.031999999999982442e+01,-6.784066350109708310e+01
1.033999999999982400e+01,-6.784071287771112679e+01
1.035999999999982357e+01,-6.784076222734668704e+01
1.037999999999982315e+01,-6.784081154970699856e+01
1.039999999999982272e+01,-6.784086084449801035e+01
1.041999999999982229e+01,-6.784091011142847094e+01
1.043999999999982187e+01,-6.784095935020982893e+01
1.045999999999982144e+01,-6.784100856055627560e+01
1.047999999999982101e+01,-6.784105774218464546e+01
1.049999999999982059e+01,-6.784110689481447309e+01
1.051999999999982016e+01,-6.784115601816793628e+01
1.053999999999981974e+01,-6.784120511196979919e+01
1.055999999999981931e+01,-6.784125417594742657e+01
1.057999999999981888e+01,-6.784130320983076956e+01
1.059999999999981846e+01,-6.784135221335229460e+01
1.061999999999981803e+01,-6.784140118624699767e+01
1.063999999999981760e+01,-6.784145012825239007e+01
1.065999999999981718e+01,-6.784149903910842738e+01
1.067999999999981675e+01,-6.784154791855755207e+01
1.069999999999981632e+01,-6.784159676634460823e+01
1.071999999999981590e+01,-6.784164558221687003e+01
1.073999999999981547e+01,-6.784169436592399904e+01
1.075999999999981505e+01,-6.784174311721803008e+01
1.077999999999981462e+01,-6.784179183585334272e+01
1.079999999999981419e+01,-6.784184052158667555e+01
1.081999999999981377e+01,-6.784188917417704090e+01
1.083999999999981334e+01,-6.784193779338578167e+01
1.085999999999981291e+01,-6.784198637897650030e+01
1.087999999999981249e+01,-6.784203493071504454e+01
1.089999999999981206e+01,-6.784208344836952165e+01
1.091999999999981164e+01,-6.784213193171025580e+01
1.093999999999981121e+01,-6.784218038050975963e+01
1.095999999999981078e+01,-6.784222879454273425e+01
1.097999999999981036e+01,-6.784227717358605503e+01
1.099999999999980993e+01,-6.784232551741872896e+01
1.101999999999980950e+01,-6.784237382582190889e+01
1.103999999999980908e+01,-6.784242209857886508e+01
1.105999999999980865e+01,-6.784247033547492833e+01
1.107999999999980822e+01,-6.784251853629754692e+01
1.109999999999980780e+01,-6.784256670083620122e+01
1.111999999999980737e+01,-6.784261482888243222e+01
